FM_Tau   (63.55665964397914,28.213585884809017)   (63.55671901180607,28.21356889322211)   (63.55673796630719,28.213457816053086)   (63.55447205235037,28.215237041377318)   
CW_Tau   (63.57095051221005,28.182613728885382)   (63.57095144538382,28.18263611878945)   (63.570967748008755,28.18261647879711)   (63.57092476625538,28.182529202485735)   
04113+2758   (63.609574427966244,28.10077984379793)   (63.60958195467481,28.100792326309822)   (63.6095877568581,28.100794053105485)   (63.60958864785877,28.10078793735428)   
CY_Tau   (64.39050941233465,28.346139259039653)   (64.39051484034032,28.34615522009017)   (64.39049493054168,28.34612519330462)   (64.39049678662133,28.34613178772803)
DD_Tau   (64.62988650608088,28.274590331227294)   (64.62979679666425,28.274614112986413)   (64.62984799845401,28.274611505212626)   (64.63825631306571,28.267152402383026)   
V892_Tau   (64.66931087598047,28.320885810223935)   (64.66930921420487,28.32088761498648)   (64.66932809728452,28.320885043420358)   (64.66933252709548,28.320873344415574)   
BP_Tau   (64.81608429326361,29.10732995345531)   (64.81610240105277,29.10734893769378)   (64.816053680021,29.107370110488702)   (64.81603973236858,29.107315189330308)   
CoKu_Tau_1   (64.71445356032537,28.340582292415327)   (64.71440394034362,28.34059801077866)   (64.7123848077122,28.340865256449568)   (64.7231288200729,28.333082063329154)   
RY_Tau   (65.48934064543216,28.44308974022299)   (65.48934183533206,28.44308272389832)   (65.48936213059199,28.443083357990314)   (65.48935284728826,28.443118119236555)   
DE_Tau   (65.48182702543924,27.918222689763386)   (65.4819655249971,27.918252698297202)   (65.48190661837971,27.91845050548337)   (65.49035225753406,27.91076332290608)   
IP_Tau   (66.23793674712822,27.198932764787184)   (0.0,0.0)   (66.23790251969146,27.198995474867644)   (66.24631684756464,27.191420664146502)   
FT_Tau   (65.91339215543341,24.937187126959323)   (65.9132856953724,24.93715781488844)   (65.91332297859832,24.937159087219502)   (65.9133823087142,24.93720942215305)   
FV_Tau   (66.72317037174611,26.115132001532338)   (66.72319190006993,26.115079051310687)   (66.73144425455165,26.107480370172386)   (66.73144425455165,26.107480370172386)   
DH_Tau   (67.42323514681257,26.54939267585983)   (67.42316730190808,26.549256232431173)   (67.42317568361821,26.549411445051135)   (67.42318671915243,26.54927794013382)   
IQ_Tau   (67.46492054111039,26.112360091703277)   (67.46496398250292,26.11236891840441)   (67.46494466967542,26.112400117740805)   (67.46488295908603,26.112329052644984)   
DK_Tau   (67.68444113985086,26.02346948889982)   (67.68438508315732,26.023478190361367)   (67.68450405827852,26.02338221441845)   (67.69263670166316,26.015872347814053)   
